n,sat,algorithm,time
10,0.2,HC,0.006
10,0.3,HC,0
10,0.4,HC,0
10,0.6,HC,0
10,0.8,HC,0
10,0.95,HC,0
20,0.2,HC,0
20,0.3,HC,0
20,0.4,HC,0
20,0.6,HC,0
20,0.8,HC,0.001
20,0.95,HC,0
30,0.2,HC,0.141
30,0.3,HC,0.001
30,0.4,HC,0
30,0.6,HC,0.001
30,0.8,HC,0.001
30,0.95,HC,0
40,0.2,HC,0.13
40,0.3,HC,0
40,0.4,HC,0.002
40,0.6,HC,0
40,0.8,HC,0
40,0.95,HC,0.001
50,0.2,HC,0.076
50,0.3,HC,0.001
50,0.4,HC,0.005
50,0.6,HC,0.002
50,0.8,HC,0.001
50,0.95,HC,0.001
60,0.2,HC,1
60,0.3,HC,0.003
60,0.4,HC,0.002
60,0.6,HC,0.002
60,0.8,HC,0.002
60,0.95,HC,0.003
70,0.2,HC,1
70,0.3,HC,0.003
70,0.4,HC,0.002
70,0.6,HC,0.002
70,0.8,HC,0.003
70,0.95,HC,0.003
80,0.2,HC,0.002
80,0.3,HC,0.017
80,0.4,HC,0.004
80,0.6,HC,0.004
80,0.8,HC,0.004
80,0.95,HC,0.005
90,0.2,HC,0.009
90,0.3,HC,0.004
90,0.4,HC,0.005
90,0.6,HC,0.007
90,0.8,HC,0.007
90,0.95,HC,0.007
100,0.2,HC,0.393
100,0.3,HC,0.005
100,0.4,HC,0.009
100,0.6,HC,0.008
100,0.8,HC,0.022
100,0.95,HC,0.009
110,0.2,HC,1
110,0.3,HC,0.007
110,0.4,HC,0.163
110,0.6,HC,0.011
110,0.8,HC,0.013
110,0.95,HC,0.013
120,0.2,HC,0.014
120,0.3,HC,0.009
120,0.4,HC,0.023
120,0.6,HC,0.015
120,0.8,HC,0.016
120,0.95,HC,0.017
130,0.2,HC,0.014
130,0.3,HC,0.013
130,0.4,HC,0.025
130,0.6,HC,0.018
130,0.8,HC,0.02
130,0.95,HC,0.021
140,0.2,HC,1
140,0.3,HC,0.015
140,0.4,HC,0.025
140,0.6,HC,0.023
140,0.8,HC,0.025
140,0.95,HC,0.026
150,0.2,HC,1
150,0.3,HC,0.019
150,0.4,HC,0.051
150,0.6,HC,0.034
150,0.8,HC,0.03
150,0.95,HC,0.032
160,0.2,HC,0.021
160,0.3,HC,0.021
160,0.4,HC,0.131
160,0.6,HC,0.035
160,0.8,HC,0.038
160,0.95,HC,0.038
170,0.2,HC,0.019
170,0.3,HC,0.029
170,0.4,HC,0.031
170,0.6,HC,0.047
170,0.8,HC,0.044
170,0.95,HC,0.046
180,0.2,HC,0.513
180,0.3,HC,0.029
180,0.4,HC,0.038
180,0.6,HC,0.046
180,0.8,HC,0.059
180,0.95,HC,0.054
190,0.2,HC,0.488
190,0.3,HC,0.037
190,0.4,HC,0.043
190,0.6,HC,0.061
190,0.8,HC,0.062
190,0.95,HC,0.063
200,0.2,HC,0.1
200,0.3,HC,0.066
200,0.4,HC,0.069
200,0.6,HC,0.062
200,0.8,HC,0.072
200,0.95,HC,0.073
