n,sat,algorithm,time
10,0.2,HC,0
10,0.3,HC,0
10,0.4,HC,0
10,0.6,HC,0
10,0.8,HC,0
10,0.95,HC,0
20,0.2,HC,1
20,0.3,HC,0
20,0.4,HC,0
20,0.6,HC,0
20,0.8,HC,0
20,0.95,HC,0
30,0.2,HC,0.009
30,0.3,HC,0.001
30,0.4,HC,0.001
30,0.6,HC,0
30,0.8,HC,0
30,0.95,HC,0
40,0.2,HC,0
40,0.3,HC,0.001
40,0.4,HC,0
40,0.6,HC,0
40,0.8,HC,0.001
40,0.95,HC,0.001
50,0.2,HC,0.026
50,0.3,HC,0.001
50,0.4,HC,0.001
50,0.6,HC,0.001
50,0.8,HC,0.002
50,0.95,HC,0.001
60,0.2,HC,0.031
60,0.3,HC,0.006
60,0.4,HC,0.003
60,0.6,HC,0.002
60,0.8,HC,0.002
60,0.95,HC,0.002
70,0.2,HC,1
70,0.3,HC,0.002
70,0.4,HC,0.002
70,0.6,HC,0.003
70,0.8,HC,0.003
70,0.95,HC,0.004
80,0.2,HC,0.005
80,0.3,HC,1
80,0.4,HC,0.005
80,0.6,HC,0.004
80,0.8,HC,0.005
80,0.95,HC,0.006
90,0.2,HC,1
90,0.3,HC,0.066
90,0.4,HC,0.005
90,0.6,HC,0.007
90,0.8,HC,0.01
90,0.95,HC,0.01
100,0.2,HC,0.006
100,0.3,HC,0.006
100,0.4,HC,0.006
100,0.6,HC,0.01
100,0.8,HC,0.009
100,0.95,HC,0.01
110,0.2,HC,0.009
110,0.3,HC,0.013
110,0.4,HC,0.015
110,0.6,HC,0.011
110,0.8,HC,0.012
110,0.95,HC,0.012
120,0.2,HC,0.007
120,0.3,HC,0.036
120,0.4,HC,0.013
120,0.6,HC,0.016
120,0.8,HC,0.016
120,0.95,HC,0.017
130,0.2,HC,0.013
130,0.3,HC,0.012
130,0.4,HC,0.024
130,0.6,HC,0.019
130,0.8,HC,0.02
130,0.95,HC,0.02
140,0.2,HC,0.159
140,0.3,HC,1
140,0.4,HC,0.016
140,0.6,HC,0.022
140,0.8,HC,0.025
140,0.95,HC,0.025
150,0.2,HC,0.057
150,0.3,HC,0.016
150,0.4,HC,0.021
150,0.6,HC,0.027
150,0.8,HC,0.03
150,0.95,HC,0.032
160,0.2,HC,1
160,0.3,HC,0.037
160,0.4,HC,0.031
160,0.6,HC,0.034
160,0.8,HC,0.037
160,0.95,HC,0.038
170,0.2,HC,0.104
170,0.3,HC,0.025
170,0.4,HC,0.031
170,0.6,HC,0.041
170,0.8,HC,0.045
170,0.95,HC,0.066
180,0.2,HC,0.226
180,0.3,HC,0.03
180,0.4,HC,0.037
180,0.6,HC,0.047
180,0.8,HC,0.052
180,0.95,HC,0.054
190,0.2,HC,0.042
190,0.3,HC,0.034
190,0.4,HC,0.068
