data_structure,no_elements,operation,time
OL,0,append,0
OL,0,search,0
OL,0,delete,0
OL,10000,append,0.156
OL,10000,search,0.153
OL,10000,delete,0.078
OL,20000,append,0.672
OL,20000,search,0.588
OL,20000,delete,0.328
OL,30000,append,1.421
OL,30000,search,1.313
OL,30000,delete,0.718
OL,40000,append,2.531
OL,40000,search,2.343
OL,40000,delete,1.328
OL,50000,append,3.937
OL,50000,search,3.624
OL,50000,delete,2.046
OL,60000,append,5.67
OL,60000,search,5.265
OL,60000,delete,2.937
OL,70000,append,7.717
OL,70000,search,7.123
OL,70000,delete,4.015
OL,80000,append,10.044
OL,80000,search,9.279
OL,80000,delete,5.327
OL,90000,append,12.747
OL,90000,search,11.747
OL,90000,delete,6.546
OL,100000,append,15.777
OL,100000,search,14.575
OL,100000,delete,8.358
OL,110000,append,19.105
OL,110000,search,17.636
OL,110000,delete,10.107
OL,120000,append,22.776
OL,120000,search,21.104
OL,120000,delete,12.453
OL,130000,append,28.212
OL,130000,search,27.119
OL,130000,delete,15.653
OL,140000,append,31.945
OL,140000,search,30.15
OL,140000,delete,16.996
