n, capacity, method, time
1 ,15 , BF, 0
2 ,15 , BF, 0
3 ,15 , BF, 0
4 ,15 , BF, 0
5 ,15 , BF, 0
6 ,15 , BF, 0
7 ,15 , BF, 0
8 ,15 , BF, 0
9 ,15 , BF, 0
10 ,15 , BF, 0
11 ,15 , BF, 0
12 ,15 , BF, 0
13 ,15 , BF, 0
14 ,15 , BF, 0.001
15 ,15 , BF, 0.001
16 ,15 , BF, 0.002
17 ,15 , BF, 0.004
18 ,15 , BF, 0.015
19 ,15 , BF, 0.02
20 ,15 , BF, 0.032
21 ,15 , BF, 0.074
22 ,15 , BF, 0.133
23 ,15 , BF, 0.326
24 ,15 , BF, 0.483
25 ,15 , BF, 1.026
26 ,15 , BF, 2.721
27 ,15 , BF, 4.989
28 ,15 , BF, 8.385
29 ,15 , BF, 17.932
30 ,15 , BF, 31.305
31 ,15 , BF, 64.178
32 ,15 , BF, 136.225
33 ,15 , BF, 291.555
1, 25000, DP, 0.001
2, 25000, DP, 0.001
3, 25000, DP, 0.001
4, 25000, DP, 0.001
5, 25000, DP, 0.002
6, 25000, DP, 0.003
7, 25000, DP, 0.002
8, 25000, DP, 0.004
9, 25000, DP, 0.004
10, 25000, DP, 0.004
11, 25000, DP, 0.005
12, 25000, DP, 0.004
13, 25000, DP, 0.005
14, 25000, DP, 0.005
15, 25000, DP, 0.005
16, 25000, DP, 0.006
17, 25000, DP, 0.006
18, 25000, DP, 0.015
19, 25000, DP, 0.016
20, 25000, DP, 0.017
21, 25000, DP, 0.008
22, 25000, DP, 0.008
23, 25000, DP, 0.008
24, 25000, DP, 0.009
25, 25000, DP, 0.009
26, 25000, DP, 0.01
27, 25000, DP, 0.011
28, 25000, DP, 0.011
29, 25000, DP, 0.01
30, 25000, DP, 0.011
31, 25000, DP, 0.013
32, 25000, DP, 0.012
33, 25000, DP, 0.013
1, 25000, GR, 0
2, 25000, GR, 0
3, 25000, GR, 0
4, 25000, GR, 0
5, 25000, GR, 0
6, 25000, GR, 0
7, 25000, GR, 0
8, 25000, GR, 0
9, 25000, GR, 0
10, 25000, GR, 0
11, 25000, GR, 0
12, 25000, GR, 0
13, 25000, GR, 0
14, 25000, GR, 0
15, 25000, GR, 0
16, 25000, GR, 0
17, 25000, GR, 0
18, 25000, GR, 0
19, 25000, GR, 0
20, 25000, GR, 0
21, 25000, GR, 0
22, 25000, GR, 0
23, 25000, GR, 0
24, 25000, GR, 0
25, 25000, GR, 0
26, 25000, GR, 0
27, 25000, GR, 0
28, 25000, GR, 0
29, 25000, GR, 0
30, 25000, GR, 0
31, 25000, GR, 0
32, 25000, GR, 0
33, 25000, GR, 0
