n, capacity, method, time, result
1000, 10000, GR, 0, 37051
1000, 12500, GR, 0, 41032
1000, 15000, GR, 0.001, 44149
1000, 17500, GR, 0, 46614
1000, 20000, GR, 0, 48382
1000, 22500, GR, 0, 49512
1000, 25000, GR, 0, 50015
2000, 10000, GR, 0.001, 51758
2000, 12500, GR, 0, 57940
2000, 15000, GR, 0.001, 63554
2000, 17500, GR, 0, 68710
2000, 20000, GR, 0.001, 73474
2000, 22500, GR, 0, 77830
2000, 25000, GR, 0.001, 81768
3000, 10000, GR, 0, 62296
3000, 12500, GR, 0, 69741
3000, 15000, GR, 0.001, 76471
3000, 17500, GR, 0.001, 82715
3000, 20000, GR, 0, 88496
3000, 22500, GR, 0.001, 93934
3000, 25000, GR, 0.001, 99091
4000, 10000, GR, 0.001, 70911
4000, 12500, GR, 0.001, 79666
4000, 15000, GR, 0.001, 87527
4000, 17500, GR, 0.001, 94757
4000, 20000, GR, 0.001, 101408
4000, 22500, GR, 0.001, 107628
4000, 25000, GR, 0.001, 113495
5000, 10000, GR, 0.001, 77723
5000, 12500, GR, 0.001, 87377
5000, 15000, GR, 0.001, 96214
5000, 17500, GR, 0.001, 104274
5000, 20000, GR, 0.002, 111790
5000, 22500, GR, 0.001, 118843
5000, 25000, GR, 0.001, 125519
6000, 10000, GR, 0.002, 86234
6000, 12500, GR, 0.001, 96745
6000, 15000, GR, 0.002, 106289
6000, 17500, GR, 0.001, 115088
6000, 20000, GR, 0.002, 123305
6000, 22500, GR, 0.001, 131084
6000, 25000, GR, 0.001, 138448
7000, 10000, GR, 0, 91712
7000, 12500, GR, 0.002, 103184
7000, 15000, GR, 0.002, 113493
7000, 17500, GR, 0.002, 122905
7000, 20000, GR, 0.001, 131629
7000, 22500, GR, 0.002, 139910
7000, 25000, GR, 0.002, 147753
8000, 10000, GR, 0.002, 99424
8000, 12500, GR, 0.002, 111649
8000, 15000, GR, 0.002, 122619
8000, 17500, GR, 0.002, 132703
8000, 20000, GR, 0.002, 142098
8000, 22500, GR, 0.002, 150939
8000, 25000, GR, 0.002, 159338
9000, 10000, GR, 0.002, 107405
9000, 12500, GR, 0.002, 120632
9000, 15000, GR, 0.002, 132491
9000, 17500, GR, 0.002, 143399
9000, 20000, GR, 0.002, 153556
9000, 22500, GR, 0.002, 163124
9000, 25000, GR, 0.003, 172185
10000, 10000, GR, 0.003, 110996
10000, 12500, GR, 0.002, 124524
10000, 15000, GR, 0.003, 136855
10000, 17500, GR, 0.002, 148168
10000, 20000, GR, 0.003, 158739
10000, 22500, GR, 0.003, 168672
10000, 25000, GR, 0.002, 178077
11000, 10000, GR, 0.002, 118724
11000, 12500, GR, 0.002, 133065
11000, 15000, GR, 0.003, 145969
11000, 17500, GR, 0.002, 157750
11000, 20000, GR, 0.003, 168754
11000, 22500, GR, 0.003, 179101
11000, 25000, GR, 0.003, 188906
12000, 10000, GR, 0.004, 121439
12000, 12500, GR, 0.003, 136496
12000, 15000, GR, 0.003, 150243
12000, 17500, GR, 0.003, 162876
12000, 20000, GR, 0.003, 174618
12000, 22500, GR, 0.003, 185667
12000, 25000, GR, 0.003, 196033
13000, 10000, GR, 0.003, 127350
13000, 12500, GR, 0.003, 143051
13000, 15000, GR, 0.004, 157260
13000, 17500, GR, 0.004, 170352
13000, 20000, GR, 0.003, 182533
13000, 22500, GR, 0.003, 193924
13000, 25000, GR, 0.003, 204703
14000, 10000, GR, 0.003, 128143
14000, 12500, GR, 0.004, 144341
14000, 15000, GR, 0.004, 158946
14000, 17500, GR, 0.003, 172485
14000, 20000, GR, 0.004, 185064
14000, 22500, GR, 0.004, 196868
14000, 25000, GR, 0.004, 208070
15000, 10000, GR, 0.004, 131575
15000, 12500, GR, 0.004, 148367
15000, 15000, GR, 0.004, 163550
