n,BS,HS,CS,SHS
2500,0.024,0.0004,0.0001,0.019
5000,0.091,0.00109,0.00011,0.065
7500,0.22,0.0015,0.00019,0.131
10000,0.404,0.00212,0.0002,0.236
12500,0.641,0.00266,0.00017,0.362
15000,0.938,0.00341,0.00021,0.512
17500,1.279,0.00388,0.0003,0.691
20000,1.691,0.00442,0.00026,0.91
22500,2.149,0.00506,0.00024,1.158
25000,2.717,0.006,0.00039,1.521
27500,3.299,0.0072,0.0004,1.91
30000,4.145,0.00705,0.0003,2.057
32500,4.56,0.00787,0.00039,2.404
35000,5.398,0.00823,0.0004,2.781
37500,6.044,0.00885,0.00044,3.167
40000,6.89,0.00948,0.00048,3.607
42500,7.926,0.01043,0.00049,4.132
45000,8.841,0.01094,0.00054,4.559
47500,9.882,0.01152,0.00055,5.157
50000,10.965,0.01226,0.00059,5.706
