n,BS,HS,CS,SHS
2500,0.015,0,0,0.016
5000,0.062,0,0,0.047
7500,0.156,0,0,0.094
10000,0.281,0.016,0,0.14
12500,0.453,0,0,0.234
15000,0.672,0.015,0,0.344
17500,0.937,0,0,0.469
20000,1.234,0,0,0.609
22500,1.546,0.016,0,0.75
25000,1.922,0,0,0.937
27500,2.359,0,0,1.125
30000,2.796,0,0.016,1.343
32500,3.297,0.015,0,1.578
35000,3.874,0,0,1.843
37500,4.499,0,0,2.093
40000,5.077,0,0,2.39
42500,5.764,0,0,2.687
45000,6.451,0.016,0,3.015
47500,7.233,0,0,3.343
50000,8.03,0.015,0,3.702
n,BS,HS,CS,SHS
2500,0.02,0,0.0001,0.01
5000,0.091,0,0.00011,0.059
7500,0.225,0,5e-05,0.13
10000,0.405,0.005,7e-05,0.225
12500,0.631,0.002,0.00027,0.348
15000,0.924,0.007,0.00024,0.508
17500,1.27,0,0.0001,0.68
20000,1.673,0,0.0002,0.895
22500,2.12,0.006,0.00021,1.132
25000,2.613,0.007,0.00031,1.398
27500,3.199,0.007,0.00037,1.702
30000,3.824,0.006,0.0003,2.032
32500,4.548,0,0.00038,2.392
35000,5.258,0.008,0.00046,2.732
37500,5.984,0.008,0.00039,3.113
40000,6.8,0.012,0.00042,3.564
42500,8.229,0.01,0.00048,4.006
45000,8.659,0.008,0.00045,4.487
47500,9.619,0.014,0.00055,4.977
50000,10.677,0.01,0.00058,5.527
n,BS,HS,CS,SHS
2500,0.024,0,0.0001,0.011
5000,0.104,0,0.0001,0.061
7500,0.229,0,0.00011,0.13
10000,0.421,0,0.0002,0.233
12500,0.638,0.007,0.00019,0.356
15000,0.93,0,0.00011,0.51
17500,1.265,0.01,0.0003,0.724
20000,1.798,0.005,0.00027,0.974
22500,2.219,0.005,0.00027,1.157
25000,2.688,0.004,0.00036,1.39
27500,3.196,0.006,0.0003,1.701
30000,3.892,0.008,0.00036,2.049
32500,4.698,0.008,0.00036,2.351
35000,5.471,0.01,0.0005,2.838
37500,6.246,0.009,0.00041,3.124
40000,6.89,0.008,0.00044,3.594
42500,7.804,0.008,0.00052,4.051
45000,8.697,0.012,0.00054,4.498
n,BS,HS,CS,SHS
2500,0.024,0.0004,0.0001,0.019
5000,0.091,0.00109,0.00011,0.065
7500,0.22,0.0015,0.00019,0.131
10000,0.404,0.00212,0.0002,0.236
12500,0.641,0.00266,0.00017,0.362
15000,0.938,0.00341,0.00021,0.512
17500,1.279,0.00388,0.0003,0.691
20000,1.691,0.00442,0.00026,0.91
22500,2.149,0.00506,0.00024,1.158
25000,2.717,0.006,0.00039,1.521
27500,3.299,0.0072,0.0004,1.91
30000,4.145,0.00705,0.0003,2.057
32500,4.56,0.00787,0.00039,2.404
35000,5.398,0.00823,0.0004,2.781
37500,6.044,0.00885,0.00044,3.167
40000,6.89,0.00948,0.00048,3.607
42500,7.926,0.01043,0.00049,4.132
45000,8.841,0.01094,0.00054,4.559
47500,9.882,0.01152,0.00055,5.157
50000,10.965,0.01226,0.00059,5.706
