n,sort,time
2500,HS,0.00043
2500,CS,7e-05
5000,HS,0.00093
5000,CS,9e-05
7500,HS,0.00149
7500,CS,0.00015
10000,HS,0.00208
10000,CS,0.00014
12500,HS,0.00267
12500,CS,0.00018
15000,HS,0.0032
15000,CS,0.0002
17500,HS,0.0047
17500,CS,0.00032
20000,HS,0.00472
20000,CS,0.00027
22500,HS,0.0052
22500,CS,0.00028
25000,HS,0.00562
25000,CS,0.0003
27500,HS,0.00632
27500,CS,0.00034
30000,HS,0.00702
30000,CS,0.00036
32500,HS,0.00755
32500,CS,0.00038
35000,HS,0.00826
35000,CS,0.00042
37500,HS,0.00897
37500,CS,0.0005
40000,HS,0.00945
40000,CS,0.00049
42500,HS,0.01038
42500,CS,0.00049
45000,HS,0.01085
45000,CS,0.00053
47500,HS,0.01164
47500,CS,0.00057
50000,HS,0.01238
50000,CS,0.00058
2500,SHS,0.00049
5000,SHS,0.00126
7500,SHS,0.00212
10000,SHS,0.00318
12500,SHS,0.00441
15000,SHS,0.00561
17500,SHS,0.00712
20000,SHS,0.00866
22500,SHS,0.01003
25000,SHS,0.01172
27500,SHS,0.0137
30000,SHS,0.0152
32500,SHS,0.01696
35000,SHS,0.01899
37500,SHS,0.02108
40000,SHS,0.02364
42500,SHS,0.02562
45000,SHS,0.02773
47500,SHS,0.02999
50000,SHS,0.03189
