n,BS,HS,CS,SHS
5000,0.078,0,0,0.031
10000,0.297,0,0,0.156
15000,0.687,0,0,0.344
20000,1.25,0,0,0.609
25000,1.968,0.016,0,0.968
30000,2.843,0,0,1.375
35000,3.936,0,0,1.859
40000,5.186,0,0,2.453
45000,6.639,0.015,0,3.093
50000,8.186,0,0,3.828
55000,9.826,0,0.016,4.639
60000,11.685,0.016,0,5.467
65000,13.887,0,0,6.389
70000,15.981,0.015,0,7.405
75000,18.386,0.016,0,8.545
80000,20.901,0.016,0,9.544
85000,23.432,0.016,0,10.934
90000,26.494,0.016,0,12.294
95000,29.556,0.015,0,13.622
100000,32.633,0.016,0,15.184
