n,sort,time
2500,BS,0.021
2500,HS,0.00043
2500,CS,7e-05
2500,SHS,0.015
5000,BS,0.094
5000,HS,0.00093
5000,CS,9e-05
5000,SHS,0.058
7500,BS,0.221
7500,HS,0.00149
7500,CS,0.00015
7500,SHS,0.146
10000,BS,0.403
10000,HS,0.00208
10000,CS,0.00014
10000,SHS,0.229
12500,BS,0.647
12500,HS,0.00267
12500,CS,0.00018
12500,SHS,0.357
15000,BS,0.967
15000,HS,0.0032
15000,CS,0.0002
15000,SHS,0.533
17500,BS,1.323
17500,HS,0.0047
17500,CS,0.00032
17500,SHS,0.886
20000,BS,1.824
20000,HS,0.00472
20000,CS,0.00027
20000,SHS,0.962
22500,BS,2.317
22500,HS,0.0052
22500,CS,0.00028
22500,SHS,1.157
25000,BS,2.646
25000,HS,0.00562
25000,CS,0.0003
25000,SHS,1.41
27500,BS,3.248
27500,HS,0.00632
27500,CS,0.00034
27500,SHS,1.721
30000,BS,3.851
30000,HS,0.00702
30000,CS,0.00036
30000,SHS,2.047
32500,BS,4.536
32500,HS,0.00755
32500,CS,0.00038
32500,SHS,2.385
35000,BS,5.297
35000,HS,0.00826
35000,CS,0.00042
35000,SHS,2.736
37500,BS,6.108
37500,HS,0.00897
37500,CS,0.0005
37500,SHS,3.211
40000,BS,6.977
40000,HS,0.00945
40000,CS,0.00049
40000,SHS,3.605
42500,BS,7.956
42500,HS,0.01038
42500,CS,0.00049
42500,SHS,4.096
45000,BS,8.833
45000,HS,0.01085
45000,CS,0.00053
45000,SHS,4.539
47500,BS,9.808
47500,HS,0.01164
47500,CS,0.00057
47500,SHS,5.093
50000,BS,10.975
50000,HS,0.01238
50000,CS,0.00058
50000,SHS,5.607
