n,sort,time
2500,BS,0.015
2500,HS,0.00015
2500,CS,0
2500,SHS,0.016
5000,BS,0.062
5000,HS,0.00078
5000,CS,0.00016
5000,SHS,0.031
7500,BS,0.172
7500,HS,0.00125
7500,CS,0
7500,SHS,0.094
10000,BS,0.281
10000,HS,0.00188
10000,CS,0
10000,SHS,0.151
12500,BS,0.453
12500,HS,0.00187
12500,CS,0
12500,SHS,0.25
15000,BS,0.657
15000,HS,0.00235
15000,CS,0
15000,SHS,0.328
17500,BS,0.922
17500,HS,0.00313
17500,CS,0.00015
17500,SHS,0.469
20000,BS,1.203
20000,HS,0.00359
20000,CS,0.00016
20000,SHS,0.593
22500,BS,1.547
22500,HS,0.00407
22500,CS,0.00031
22500,SHS,0.75
25000,BS,1.922
25000,HS,0.00453
25000,CS,0.00032
25000,SHS,0.937
27500,BS,2.343
27500,HS,0.00516
27500,CS,0.00031
27500,SHS,1.125
30000,BS,2.796
30000,HS,0.00578
30000,CS,0.00031
30000,SHS,1.375
32500,BS,3.296
32500,HS,0.00609
32500,CS,0.00031
32500,SHS,1.578
35000,BS,3.858
35000,HS,0.00672
35000,CS,0.00031
35000,SHS,1.828
37500,BS,4.437
37500,HS,0.00704
37500,CS,0.00016
37500,SHS,2.125
40000,BS,5.109
40000,HS,0.00781
40000,CS,0.00031
40000,SHS,2.39
42500,BS,5.764
42500,HS,0.00828
42500,CS,0.00047
42500,SHS,2.687
45000,BS,6.467
45000,HS,0.00891
45000,CS,0.00046
45000,SHS,3
47500,BS,7.217
47500,HS,0.00921
47500,CS,0.00031
47500,SHS,3.343
50000,BS,8.029
50000,HS,0.00968
50000,CS,0.00031
50000,SHS,3.718
