n	QS	HS	MS	
5000	0	0.016	0	
10000	0	0	0	
15000	0	0	0	
20000	0	0	0	
25000	0	0	0.016	
30000	0	0	0	
35000	0	0	0	
40000	0	0.015	0	
45000	0	0.016	0	
50000	0	0	0.015	
55000	0	0	0	
60000	0	0.016	0	
65000	0	0.016	0	
70000	0	0.015	0	
75000	0	0.016	0.016	
80000	0	0	0.015	
85000	0	0.016	0	
90000	0	0.015	0.016	
95000	0	0.016	0	
100000	0	0.015	0.016	
105000	0	0.016	0	
110000	0	0.031	0	
115000	0	0.015	0.016	
120000	0	0.016	0.015	
125000	0	0.016	0.015	
130000	0	0.016	0.016	
135000	0	0.031	0	
140000	0	0.031	0.016	
145000	0	0.015	0.016	
150000	0	0.031	0	
