n,sort,time
2500,QS,0.00012
2500,HS,0.00051
2500,MS,0.0002
5000,QS,0.0002
5000,HS,0.00086
5000,MS,0.00046
7500,QS,0.00028
7500,HS,0.00124
7500,MS,0.0007
10000,QS,0.00038
10000,HS,0.00169
10000,MS,0.00096
12500,QS,0.00056
12500,HS,0.00229
12500,MS,0.00123
15000,QS,0.00064
15000,HS,0.00262
15000,MS,0.00156
17500,QS,0.00076
17500,HS,0.00328
17500,MS,0.00178
20000,QS,0.0009
20000,HS,0.00366
20000,MS,0.00204
22500,QS,0.001
22500,HS,0.00412
22500,MS,0.00232
25000,QS,0.0012
25000,HS,0.00461
25000,MS,0.00267
27500,QS,0.00124
27500,HS,0.0051
27500,MS,0.00296
30000,QS,0.00143
30000,HS,0.00559
30000,MS,0.00322
32500,QS,0.00155
32500,HS,0.00611
32500,MS,0.0036
35000,QS,0.00164
35000,HS,0.00698
35000,MS,0.00403
37500,QS,0.00179
37500,HS,0.00732
37500,MS,0.00412
40000,QS,0.00188
40000,HS,0.00806
40000,MS,0.00437
42500,QS,0.00206
42500,HS,0.0084
42500,MS,0.00498
45000,QS,0.00218
45000,HS,0.00904
45000,MS,0.00509
47500,QS,0.0024
47500,HS,0.00948
47500,MS,0.00533
50000,QS,0.00246
50000,HS,0.00998
50000,MS,0.0058
52500,QS,0.00254
52500,HS,0.01047
52500,MS,0.00598
55000,QS,0.0028
55000,HS,0.01104
55000,MS,0.00639
57500,QS,0.00276
57500,HS,0.01136
57500,MS,0.00643
60000,QS,0.00283
60000,HS,0.01196
60000,MS,0.00665
