n,sort,time
2500,QS,0.00032
2500,HS,0.00045
2500,MS,0.00036
5000,QS,0.00068
5000,HS,0.00096
5000,MS,0.00076
7500,QS,0.001
7500,HS,0.0016
7500,MS,0.00112
10000,QS,0.00132
10000,HS,0.00204
10000,MS,0.00156
12500,QS,0.00175
12500,HS,0.00285
12500,MS,0.00201
15000,QS,0.00254
15000,HS,0.00324
15000,MS,0.00249
17500,QS,0.0024
17500,HS,0.004
17500,MS,0.00293
20000,QS,0.00286
20000,HS,0.00463
20000,MS,0.0034
22500,QS,0.00315
22500,HS,0.00504
22500,MS,0.00374
25000,QS,0.00357
25000,HS,0.00581
25000,MS,0.00425
27500,QS,0.00389
27500,HS,0.00647
27500,MS,0.00464
30000,QS,0.00418
30000,HS,0.00682
30000,MS,0.00513
32500,QS,0.00484
32500,HS,0.0078
32500,MS,0.00582
35000,QS,0.00571
35000,HS,0.00862
35000,MS,0.00686
37500,QS,0.00629
37500,HS,0.0109
37500,MS,0.00741
40000,QS,0.00584
40000,HS,0.00952
40000,MS,0.00693
42500,QS,0.00613
42500,HS,0.01013
42500,MS,0.00738
45000,QS,0.00651
45000,HS,0.01074
45000,MS,0.00786
47500,QS,0.00694
47500,HS,0.01141
47500,MS,0.00826
50000,QS,0.00743
50000,HS,0.0121
50000,MS,0.00882
52500,QS,0.00793
52500,HS,0.01308
52500,MS,0.00933
55000,QS,0.00789
55000,HS,0.01326
55000,MS,0.00973
57500,QS,0.00847
57500,HS,0.01391
57500,MS,0.01013
60000,QS,0.00874
60000,HS,0.01479
60000,MS,0.01079
