n,sort,time
2500,QS_incr,0.00012
2500,HS_incr,0.00051
2500,MS_incr,0.0002
5000,QS_incr,0.0002
5000,HS_incr,0.00086
5000,MS_incr,0.00046
7500,QS_incr,0.00028
7500,HS_incr,0.00124
7500,MS_incr,0.0007
10000,QS_incr,0.00038
10000,HS_incr,0.00169
10000,MS_incr,0.00096
12500,QS_incr,0.00056
12500,HS_incr,0.00229
12500,MS_incr,0.00123
15000,QS_incr,0.00064
15000,HS_incr,0.00262
15000,MS_incr,0.00156
17500,QS_incr,0.00076
17500,HS_incr,0.00328
17500,MS_incr,0.00178
20000,QS_incr,0.0009
20000,HS_incr,0.00366
20000,MS_incr,0.00204
22500,QS_incr,0.001
22500,HS_incr,0.00412
22500,MS_incr,0.00232
25000,QS_incr,0.0012
25000,HS_incr,0.00461
25000,MS_incr,0.00267
27500,QS_incr,0.00124
27500,HS_incr,0.0051
27500,MS_incr,0.00296
30000,QS_incr,0.00143
30000,HS_incr,0.00559
30000,MS_incr,0.00322
32500,QS_incr,0.00155
32500,HS_incr,0.00611
32500,MS_incr,0.0036
35000,QS_incr,0.00164
35000,HS_incr,0.00698
35000,MS_incr,0.00403
37500,QS_incr,0.00179
37500,HS_incr,0.00732
37500,MS_incr,0.00412
40000,QS_incr,0.00188
40000,HS_incr,0.00806
40000,MS_incr,0.00437
42500,QS_incr,0.00206
42500,HS_incr,0.0084
42500,MS_incr,0.00498
45000,QS_incr,0.00218
45000,HS_incr,0.00904
45000,MS_incr,0.00509
47500,QS_incr,0.0024
47500,HS_incr,0.00948
47500,MS_incr,0.00533
50000,QS_incr,0.00246
50000,HS_incr,0.00998
50000,MS_incr,0.0058
52500,QS_incr,0.00254
52500,HS_incr,0.01047
52500,MS_incr,0.00598
55000,QS_incr,0.0028
55000,HS_incr,0.01104
55000,MS_incr,0.00639
57500,QS_incr,0.00276
57500,HS_incr,0.01136
57500,MS_incr,0.00643
60000,QS_incr,0.00283
60000,HS_incr,0.01196
60000,MS_incr,0.00665
2500,QS_decr,0.00015
2500,HS_decr,0.00036
2500,MS_decr,0.00024
5000,QS_decr,0.00024
5000,HS_decr,0.00076
5000,MS_decr,0.00044
7500,QS_decr,0.00032
7500,HS_decr,0.00125
7500,MS_decr,0.00074
10000,QS_decr,0.00041
10000,HS_decr,0.00161
10000,MS_decr,0.00096
12500,QS_decr,0.00057
12500,HS_decr,0.00205
12500,MS_decr,0.00123
15000,QS_decr,0.00064
15000,HS_decr,0.00253
15000,MS_decr,0.00151
17500,QS_decr,0.00083
17500,HS_decr,0.00303
17500,MS_decr,0.0018
20000,QS_decr,0.00096
20000,HS_decr,0.00355
20000,MS_decr,0.00208
22500,QS_decr,0.00116
22500,HS_decr,0.00402
22500,MS_decr,0.00233
25000,QS_decr,0.00125
25000,HS_decr,0.00447
25000,MS_decr,0.00261
27500,QS_decr,0.00138
27500,HS_decr,0.00506
27500,MS_decr,0.00296
30000,QS_decr,0.00154
30000,HS_decr,0.00557
30000,MS_decr,0.0034
32500,QS_decr,0.00158
32500,HS_decr,0.00601
32500,MS_decr,0.00351
35000,QS_decr,0.0017
35000,HS_decr,0.00645
35000,MS_decr,0.00377
37500,QS_decr,0.00188
37500,HS_decr,0.00692
37500,MS_decr,0.00406
40000,QS_decr,0.0021
40000,HS_decr,0.00764
40000,MS_decr,0.00453
42500,QS_decr,0.00222
42500,HS_decr,0.00809
42500,MS_decr,0.0047
45000,QS_decr,0.00238
45000,HS_decr,0.00848
45000,MS_decr,0.00497
47500,QS_decr,0.00257
47500,HS_decr,0.00898
47500,MS_decr,0.0054
50000,QS_decr,0.00272
50000,HS_decr,0.00977
50000,MS_decr,0.00575
52500,QS_decr,0.00279
52500,HS_decr,0.01002
52500,MS_decr,0.00588
55000,QS_decr,0.00282
55000,HS_decr,0.0104
55000,MS_decr,0.00616
57500,QS_decr,0.00294
57500,HS_decr,0.01098
57500,MS_decr,0.00642
60000,QS_decr,0.00306
60000,HS_decr,0.01148
60000,MS_decr,0.0068
