n,sort,time
2500,QS_rand,0.00032
2500,HS_rand,0.00045
2500,MS_rand,0.00036
5000,QS_rand,0.00068
5000,HS_rand,0.00096
5000,MS_rand,0.00076
7500,QS_rand,0.001
7500,HS_rand,0.0016
7500,MS_rand,0.00112
10000,QS_rand,0.00132
10000,HS_rand,0.00204
10000,MS_rand,0.00156
12500,QS_rand,0.00175
12500,HS_rand,0.00285
12500,MS_rand,0.00201
15000,QS_rand,0.00254
15000,HS_rand,0.00324
15000,MS_rand,0.00249
17500,QS_rand,0.0024
17500,HS_rand,0.004
17500,MS_rand,0.00293
20000,QS_rand,0.00286
20000,HS_rand,0.00463
20000,MS_rand,0.0034
22500,QS_rand,0.00315
22500,HS_rand,0.00504
22500,MS_rand,0.00374
25000,QS_rand,0.00357
25000,HS_rand,0.00581
25000,MS_rand,0.00425
27500,QS_rand,0.00389
27500,HS_rand,0.00647
27500,MS_rand,0.00464
30000,QS_rand,0.00418
30000,HS_rand,0.00682
30000,MS_rand,0.00513
32500,QS_rand,0.00484
32500,HS_rand,0.0078
32500,MS_rand,0.00582
35000,QS_rand,0.00571
35000,HS_rand,0.00862
35000,MS_rand,0.00686
37500,QS_rand,0.00629
37500,HS_rand,0.0109
37500,MS_rand,0.00741
40000,QS_rand,0.00584
40000,HS_rand,0.00952
40000,MS_rand,0.00693
42500,QS_rand,0.00613
42500,HS_rand,0.01013
42500,MS_rand,0.00738
45000,QS_rand,0.00651
45000,HS_rand,0.01074
45000,MS_rand,0.00786
47500,QS_rand,0.00694
47500,HS_rand,0.01141
47500,MS_rand,0.00826
50000,QS_rand,0.00743
50000,HS_rand,0.0121
50000,MS_rand,0.00882
52500,QS_rand,0.00793
52500,HS_rand,0.01308
52500,MS_rand,0.00933
55000,QS_rand,0.00789
55000,HS_rand,0.01326
55000,MS_rand,0.00973
57500,QS_rand,0.00847
57500,HS_rand,0.01391
57500,MS_rand,0.01013
60000,QS_rand,0.00874
60000,HS_rand,0.01479
60000,MS_rand,0.01079
2500,QS_const,0.00018
2500,HS_const,4e-05
2500,MS_const,0.00024
5000,QS_const,0.00044
5000,HS_const,4e-05
5000,MS_const,0.00048
7500,QS_const,0.00072
7500,HS_const,8e-05
7500,MS_const,0.00072
10000,QS_const,0.00088
10000,HS_const,9e-05
10000,MS_const,0.00097
12500,QS_const,0.00124
12500,HS_const,0.00012
12500,MS_const,0.0013
15000,QS_const,0.00132
15000,HS_const,0.00016
15000,MS_const,0.00146
17500,QS_const,0.00178
17500,HS_const,0.00014
17500,MS_const,0.00172
20000,QS_const,0.00201
20000,HS_const,0.00028
20000,MS_const,0.00198
22500,QS_const,0.00224
22500,HS_const,0.0003
22500,MS_const,0.00308
25000,QS_const,0.00336
25000,HS_const,0.00045
25000,MS_const,0.00298
27500,QS_const,0.0029
27500,HS_const,0.00032
27500,MS_const,0.00288
30000,QS_const,0.00318
30000,HS_const,0.00038
30000,MS_const,0.00318
32500,QS_const,0.00318
32500,HS_const,0.00038
32500,MS_const,0.00344
35000,QS_const,0.00372
35000,HS_const,0.00044
35000,MS_const,0.00368
37500,QS_const,0.00405
37500,HS_const,0.00048
37500,MS_const,0.00401
40000,QS_const,0.00423
40000,HS_const,0.00053
40000,MS_const,0.00426
42500,QS_const,0.00474
42500,HS_const,0.00053
42500,MS_const,0.00475
45000,QS_const,0.00476
45000,HS_const,0.00051
45000,MS_const,0.00494
47500,QS_const,0.00553
47500,HS_const,0.00067
47500,MS_const,0.00564
50000,QS_const,0.00532
50000,HS_const,0.00063
50000,MS_const,0.0055
52500,QS_const,0.00574
52500,HS_const,0.00066
52500,MS_const,0.00612
55000,QS_const,0.00605
55000,HS_const,0.00072
55000,MS_const,0.00626
57500,QS_const,0.00621
57500,HS_const,0.00068
57500,MS_const,0.00626
60000,QS_const,0.00626
60000,HS_const,0.0007
60000,MS_const,0.00662
