n,sort,time
2500,QS,0.0001
2500,HS,0.00034
2500,MS,0.0002
5000,QS,0.0004
5000,HS,0.00079
5000,MS,0.00051
7500,QS,0.00088
7500,HS,0.0013
7500,MS,0.00079
10000,QS,0.00151
10000,HS,0.0017
10000,MS,0.00102
12500,QS,0.00226
12500,HS,0.00226
12500,MS,0.00128
15000,QS,0.0032
15000,HS,0.00269
15000,MS,0.00158
17500,QS,0.00423
17500,HS,0.00316
17500,MS,0.00186
20000,QS,0.00561
20000,HS,0.00363
20000,MS,0.00208
22500,QS,0.00721
22500,HS,0.00479
22500,MS,0.00277
25000,QS,0.00908
25000,HS,0.00485
25000,MS,0.00301
27500,QS,0.01133
27500,HS,0.00539
27500,MS,0.00327
30000,QS,0.01439
30000,HS,0.00569
30000,MS,0.00344
32500,QS,0.01645
32500,HS,0.00668
32500,MS,0.00371
35000,QS,0.01701
35000,HS,0.00689
35000,MS,0.00408
37500,QS,0.0192
37500,HS,0.00737
37500,MS,0.00451
40000,QS,0.02228
40000,HS,0.00774
40000,MS,0.00437
42500,QS,0.02449
42500,HS,0.00827
42500,MS,0.00484
45000,QS,0.02718
45000,HS,0.00883
45000,MS,0.00498
47500,QS,0.03051
47500,HS,0.00942
47500,MS,0.00534
50000,QS,0.0337
50000,HS,0.00985
50000,MS,0.00577
52500,QS,0.03713
52500,HS,0.01063
52500,MS,0.00614
55000,QS,0.04077
55000,HS,0.01092
55000,MS,0.00627
57500,QS,0.04443
57500,HS,0.01144
57500,MS,0.00674
60000,QS,0.0511
60000,HS,0.01217
60000,MS,0.00705
