n,sort,time
2500,QS,0.00038
2500,HS,0.00038
2500,MS,0.00022
5000,QS,0.00146
5000,HS,0.0008
5000,MS,0.00048
7500,QS,0.00328
7500,HS,0.00128
7500,MS,0.00074
10000,QS,0.0058
10000,HS,0.00183
10000,MS,0.00096
12500,QS,0.00908
12500,HS,0.00225
12500,MS,0.00126
15000,QS,0.01303
15000,HS,0.00273
15000,MS,0.00153
17500,QS,0.01772
17500,HS,0.0033
17500,MS,0.00178
20000,QS,0.02356
20000,HS,0.00368
20000,MS,0.00207
22500,QS,0.02939
22500,HS,0.00416
22500,MS,0.00235
25000,QS,0.03629
25000,HS,0.00554
25000,MS,0.00278
27500,QS,0.04463
27500,HS,0.00525
27500,MS,0.00296
30000,QS,0.05246
30000,HS,0.00575
30000,MS,0.00331
32500,QS,0.06169
32500,HS,0.00642
32500,MS,0.00362
35000,QS,0.07361
35000,HS,0.00696
35000,MS,0.00378
37500,QS,0.08206
37500,HS,0.00729
37500,MS,0.00409
40000,QS,0.09619
40000,HS,0.00868
40000,MS,0.00479
42500,QS,0.10738
42500,HS,0.00983
42500,MS,0.00556
45000,QS,0.11977
45000,HS,0.00887
45000,MS,0.00503
47500,QS,0.13445
47500,HS,0.00952
47500,MS,0.00522
50000,QS,0.1449
50000,HS,0.01001
50000,MS,0.00558
52500,QS,0.16099
52500,HS,0.01063
52500,MS,0.00589
55000,QS,0.18654
55000,HS,0.01103
55000,MS,0.00645
57500,QS,0.19749
57500,HS,0.01219
57500,MS,0.00658
60000,QS,0.21142
60000,HS,0.0124
60000,MS,0.00704
