n,sort,time
2500,QS_a,0.00038
2500,HS_a,0.00038
2500,MS_a,0.00022
5000,QS_a,0.00146
5000,HS_a,0.0008
5000,MS_a,0.00048
7500,QS_a,0.00328
7500,HS_a,0.00128
7500,MS_a,0.00074
10000,QS_a,0.0058
10000,HS_a,0.00183
10000,MS_a,0.00096
12500,QS_a,0.00908
12500,HS_a,0.00225
12500,MS_a,0.00126
15000,QS_a,0.01303
15000,HS_a,0.00273
15000,MS_a,0.00153
17500,QS_a,0.01772
17500,HS_a,0.0033
17500,MS_a,0.00178
20000,QS_a,0.02356
20000,HS_a,0.00368
20000,MS_a,0.00207
22500,QS_a,0.02939
22500,HS_a,0.00416
22500,MS_a,0.00235
25000,QS_a,0.03629
25000,HS_a,0.00554
25000,MS_a,0.00278
27500,QS_a,0.04463
27500,HS_a,0.00525
27500,MS_a,0.00296
30000,QS_a,0.05246
30000,HS_a,0.00575
30000,MS_a,0.00331
32500,QS_a,0.06169
32500,HS_a,0.00642
32500,MS_a,0.00362
35000,QS_a,0.07361
35000,HS_a,0.00696
35000,MS_a,0.00378
37500,QS_a,0.08206
37500,HS_a,0.00729
37500,MS_a,0.00409
40000,QS_a,0.09619
40000,HS_a,0.00868
40000,MS_a,0.00479
42500,QS_a,0.10738
42500,HS_a,0.00983
42500,MS_a,0.00556
45000,QS_a,0.11977
45000,HS_a,0.00887
45000,MS_a,0.00503
47500,QS_a,0.13445
47500,HS_a,0.00952
47500,MS_a,0.00522
50000,QS_a,0.1449
50000,HS_a,0.01001
50000,MS_a,0.00558
52500,QS_a,0.16099
52500,HS_a,0.01063
52500,MS_a,0.00589
55000,QS_a,0.18654
55000,HS_a,0.01103
55000,MS_a,0.00645
57500,QS_a,0.19749
57500,HS_a,0.01219
57500,MS_a,0.00658
60000,QS_a,0.21142
60000,HS_a,0.0124
60000,MS_a,0.00704
2500,QS_v,0.0001
2500,HS_v,0.00034
2500,MS_v,0.0002
5000,QS_v,0.0004
5000,HS_v,0.00079
5000,MS_v,0.00051
7500,QS_v,0.00088
7500,HS_v,0.0013
7500,MS_v,0.00079
10000,QS_v,0.00151
10000,HS_v,0.0017
10000,MS_v,0.00102
12500,QS_v,0.00226
12500,HS_v,0.00226
12500,MS_v,0.00128
15000,QS_v,0.0032
15000,HS_v,0.00269
15000,MS_v,0.00158
17500,QS_v,0.00423
17500,HS_v,0.00316
17500,MS_v,0.00186
20000,QS_v,0.00561
20000,HS_v,0.00363
20000,MS_v,0.00208
22500,QS_v,0.00721
22500,HS_v,0.00479
22500,MS_v,0.00277
25000,QS_v,0.00908
25000,HS_v,0.00485
25000,MS_v,0.00301
27500,QS_v,0.01133
27500,HS_v,0.00539
27500,MS_v,0.00327
30000,QS_v,0.01439
30000,HS_v,0.00569
30000,MS_v,0.00344
32500,QS_v,0.01645
32500,HS_v,0.00668
32500,MS_v,0.00371
35000,QS_v,0.01701
35000,HS_v,0.00689
35000,MS_v,0.00408
37500,QS_v,0.0192
37500,HS_v,0.00737
37500,MS_v,0.00451
40000,QS_v,0.02228
40000,HS_v,0.00774
40000,MS_v,0.00437
42500,QS_v,0.02449
42500,HS_v,0.00827
42500,MS_v,0.00484
45000,QS_v,0.02718
45000,HS_v,0.00883
45000,MS_v,0.00498
47500,QS_v,0.03051
47500,HS_v,0.00942
47500,MS_v,0.00534
50000,QS_v,0.0337
50000,HS_v,0.00985
50000,MS_v,0.00577
52500,QS_v,0.03713
52500,HS_v,0.01063
52500,MS_v,0.00614
55000,QS_v,0.04077
55000,HS_v,0.01092
55000,MS_v,0.00627
57500,QS_v,0.04443
57500,HS_v,0.01144
57500,MS_v,0.00674
60000,QS_v,0.0511
60000,HS_v,0.01217
60000,MS_v,0.00705
