n,sort,time
2500,QS,0.00018
2500,HS,4e-05
2500,MS,0.00024
5000,QS,0.00044
5000,HS,4e-05
5000,MS,0.00048
7500,QS,0.00072
7500,HS,8e-05
7500,MS,0.00072
10000,QS,0.00088
10000,HS,9e-05
10000,MS,0.00097
12500,QS,0.00124
12500,HS,0.00012
12500,MS,0.0013
15000,QS,0.00132
15000,HS,0.00016
15000,MS,0.00146
17500,QS,0.00178
17500,HS,0.00014
17500,MS,0.00172
20000,QS,0.00201
20000,HS,0.00028
20000,MS,0.00198
22500,QS,0.00224
22500,HS,0.0003
22500,MS,0.00308
25000,QS,0.00336
25000,HS,0.00045
25000,MS,0.00298
27500,QS,0.0029
27500,HS,0.00032
27500,MS,0.00288
30000,QS,0.00318
30000,HS,0.00038
30000,MS,0.00318
32500,QS,0.00318
32500,HS,0.00038
32500,MS,0.00344
35000,QS,0.00372
35000,HS,0.00044
35000,MS,0.00368
37500,QS,0.00405
37500,HS,0.00048
37500,MS,0.00401
40000,QS,0.00423
40000,HS,0.00053
40000,MS,0.00426
42500,QS,0.00474
42500,HS,0.00053
42500,MS,0.00475
45000,QS,0.00476
45000,HS,0.00051
45000,MS,0.00494
47500,QS,0.00553
47500,HS,0.00067
47500,MS,0.00564
50000,QS,0.00532
50000,HS,0.00063
50000,MS,0.0055
52500,QS,0.00574
52500,HS,0.00066
52500,MS,0.00612
55000,QS,0.00605
55000,HS,0.00072
55000,MS,0.00626
57500,QS,0.00621
57500,HS,0.00068
57500,MS,0.00626
60000,QS,0.00626
60000,HS,0.0007
60000,MS,0.00662
