n,sort,time
2500,QS,0.00015
2500,HS,0.00036
2500,MS,0.00024
5000,QS,0.00024
5000,HS,0.00076
5000,MS,0.00044
7500,QS,0.00032
7500,HS,0.00125
7500,MS,0.00074
10000,QS,0.00041
10000,HS,0.00161
10000,MS,0.00096
12500,QS,0.00057
12500,HS,0.00205
12500,MS,0.00123
15000,QS,0.00064
15000,HS,0.00253
15000,MS,0.00151
17500,QS,0.00083
17500,HS,0.00303
17500,MS,0.0018
20000,QS,0.00096
20000,HS,0.00355
20000,MS,0.00208
22500,QS,0.00116
22500,HS,0.00402
22500,MS,0.00233
25000,QS,0.00125
25000,HS,0.00447
25000,MS,0.00261
27500,QS,0.00138
27500,HS,0.00506
27500,MS,0.00296
30000,QS,0.00154
30000,HS,0.00557
30000,MS,0.0034
32500,QS,0.00158
32500,HS,0.00601
32500,MS,0.00351
35000,QS,0.0017
35000,HS,0.00645
35000,MS,0.00377
37500,QS,0.00188
37500,HS,0.00692
37500,MS,0.00406
40000,QS,0.0021
40000,HS,0.00764
40000,MS,0.00453
42500,QS,0.00222
42500,HS,0.00809
42500,MS,0.0047
45000,QS,0.00238
45000,HS,0.00848
45000,MS,0.00497
47500,QS,0.00257
47500,HS,0.00898
47500,MS,0.0054
50000,QS,0.00272
50000,HS,0.00977
50000,MS,0.00575
52500,QS,0.00279
52500,HS,0.01002
52500,MS,0.00588
55000,QS,0.00282
55000,HS,0.0104
55000,MS,0.00616
57500,QS,0.00294
57500,HS,0.01098
57500,MS,0.00642
60000,QS,0.00306
60000,HS,0.01148
60000,MS,0.0068
