data_structure,no_elements,operation,time
OL,0,append,0
OL,0,search,0
OL,0,delete,0
OL,10000,append,0.156
OL,10000,search,0.153
OL,10000,delete,0.078
OL,20000,append,0.672
OL,20000,search,0.588
OL,20000,delete,0.328
OL,30000,append,1.421
OL,30000,search,1.313
OL,30000,delete,0.718
OL,40000,append,2.531
OL,40000,search,2.343
OL,40000,delete,1.328
OL,50000,append,3.937
OL,50000,search,3.624
OL,50000,delete,2.046
OL,60000,append,5.67
OL,60000,search,5.265
OL,60000,delete,2.937
OL,70000,append,7.717
OL,70000,search,7.123
OL,70000,delete,4.015
OL,80000,append,10.044
OL,80000,search,9.279
OL,80000,delete,5.327
OL,90000,append,12.747
OL,90000,search,11.747
OL,90000,delete,6.546
OL,100000,append,15.777
OL,100000,search,14.575
OL,100000,delete,8.358
OL,110000,append,19.105
OL,110000,search,17.636
OL,110000,delete,10.107
OL,120000,append,22.776
OL,120000,search,21.104
OL,120000,delete,12.453
OL,130000,append,28.212
OL,130000,search,27.119
OL,130000,delete,15.653
OL,140000,append,31.945
OL,140000,search,30.15
OL,140000,delete,16.996
BST,0,append,0
BST,0,search,0
BST,0,delete,0
BST,10000,append,0.015
BST,10000,search,0
BST,10000,delete,0
BST,20000,append,0.031
BST,20000,search,0
BST,20000,delete,0.016
BST,30000,append,0.031
BST,30000,search,0.016
BST,30000,delete,0
BST,40000,append,0.047
BST,40000,search,0.015
BST,40000,delete,0.016
BST,50000,append,0.062
BST,50000,search,0.032
BST,50000,delete,0.015
BST,60000,append,0.078
BST,60000,search,0.032
BST,60000,delete,0.015
BST,70000,append,0.094
BST,70000,search,0.034
BST,70000,delete,0.032
BST,80000,append,0.093
BST,80000,search,0.032
BST,80000,delete,0.031
BST,90000,append,0.109
BST,90000,search,0.031
BST,90000,delete,0.047
BST,100000,append,0.125
BST,100000,search,0.047
BST,100000,delete,0.047
BST,110000,append,0.141
BST,110000,search,0.062
BST,110000,delete,0.041
BST,120000,append,0.157
BST,120000,search,0.062
BST,120000,delete,0.047
BST,130000,append,0.172
BST,130000,search,0.047
BST,130000,delete,0.062
BST,140000,append,0.172
BST,140000,search,0.063
BST,140000,delete,0.062
BST,150000,append,0.187
BST,150000,search,0.063
BST,150000,delete,0.062
BST,160000,append,0.204
BST,160000,search,0.062
BST,160000,delete,0.078
BST,170000,append,0.219
BST,170000,search,0.078
BST,170000,delete,0.078
BST,180000,append,0.219
BST,180000,search,0.078
BST,180000,delete,0.094
BST,190000,append,0.218
BST,190000,search,0.094
BST,190000,delete,0.094
BST,200000,append,0.25
BST,200000,search,0.093
BST,200000,delete,0.094
BST,210000,append,0.25
BST,210000,search,0.109
BST,210000,delete,0.094
BST,220000,append,0.281
BST,220000,search,0.094
BST,220000,delete,0.109
BST,230000,append,0.282
BST,230000,search,0.109
BST,230000,delete,0.125
BST,240000,append,0.312
BST,240000,search,0.11
BST,240000,delete,0.125
BST,250000,append,0.296
BST,250000,search,0.125
BST,250000,delete,0.125
BST,260000,append,0.312
BST,260000,search,0.125
BST,260000,delete,0.141
BST,270000,append,0.328
BST,270000,search,0.141
BST,270000,delete,0.14
BST,280000,append,0.344
BST,280000,search,0.14
BST,280000,delete,0.157
BST,290000,append,0.359
BST,290000,search,0.141
BST,290000,delete,0.156
BST,300000,append,0.375
BST,300000,search,0.156
BST,300000,delete,0.156
BST,310000,append,0.406
BST,310000,search,0.172
BST,310000,delete,0.156
BST,320000,append,0.407
BST,320000,search,0.171
BST,320000,delete,0.172
BST,330000,append,0.422
BST,330000,search,0.172
BST,330000,delete,0.187
BST,340000,append,0.422
BST,340000,search,0.187
BST,340000,delete,0.188
BST,350000,append,0.437
BST,350000,search,0.188
BST,350000,delete,0.203
BST,360000,append,0.453
BST,360000,search,0.187
BST,360000,delete,0.203
BST,370000,append,0.469
BST,370000,search,0.203
BST,370000,delete,0.219
BST,380000,append,0.515
BST,380000,search,0.203
BST,380000,delete,0.219
BST,390000,append,0.484
BST,390000,search,0.219
BST,390000,delete,0.234
BST,400000,append,0.515
BST,400000,search,0.219
BST,400000,delete,0.234
BST,410000,append,0.532
BST,410000,search,0.234
BST,410000,delete,0.234
BST,420000,append,0.531
BST,420000,search,0.234
BST,420000,delete,0.266
BST,430000,append,0.547
BST,430000,search,0.25
BST,430000,delete,0.25
BST,440000,append,0.578
BST,440000,search,0.234
BST,440000,delete,0.281
BST,450000,append,0.64
BST,450000,search,0.266
BST,450000,delete,0.281
BST,460000,append,0.594
BST,460000,search,0.265
BST,460000,delete,0.282
BST,470000,append,0.609
BST,470000,search,0.281
BST,470000,delete,0.281
BST,480000,append,0.625
BST,480000,search,0.281
BST,480000,delete,0.313
BST,490000,append,0.64
BST,490000,search,0.281
BST,490000,delete,0.313
BST,500000,append,0.656
BST,500000,search,0.297
BST,500000,delete,0.312
BBST,0,append,0
BBST,0,search,0
BBST,0,delete,0
BBST,10000,append,0
BBST,10000,search,0.016
BBST,10000,delete,0
BBST,20000,append,0.015
BBST,20000,search,0.016
BBST,20000,delete,0
BBST,30000,append,0.031
BBST,30000,search,0.015
BBST,30000,delete,0
BBST,40000,append,0.047
BBST,40000,search,0.016
BBST,40000,delete,0.015
BBST,50000,append,0.063
BBST,50000,search,0.015
BBST,50000,delete,0.032
BBST,60000,append,0.078
BBST,60000,search,0.028
BBST,60000,delete,0.015
BBST,70000,append,0.078
BBST,70000,search,0.031
BBST,70000,delete,0.016
BBST,80000,append,0.093
BBST,80000,search,0.032
BBST,80000,delete,0.031
BBST,90000,append,0.109
BBST,90000,search,0.031
BBST,90000,delete,0.031
BBST,100000,append,0.141
BBST,100000,search,0.046
BBST,100000,delete,0.032
BBST,110000,append,0.135
BBST,110000,search,0.031
BBST,110000,delete,0.031
BBST,120000,append,0.141
BBST,120000,search,0.031
BBST,120000,delete,0.046
BBST,130000,append,0.156
BBST,130000,search,0.047
BBST,130000,delete,0.063
BBST,140000,append,0.172
BBST,140000,search,0.063
BBST,140000,delete,0.046
BBST,150000,append,0.187
BBST,150000,search,0.047
BBST,150000,delete,0.062
BBST,160000,append,0.203
BBST,160000,search,0.062
BBST,160000,delete,0.063
BBST,170000,append,0.235
BBST,170000,search,0.062
BBST,170000,delete,0.063
BBST,180000,append,0.234
BBST,180000,search,0.063
BBST,180000,delete,0.078
BBST,190000,append,0.234
BBST,190000,search,0.078
BBST,190000,delete,0.079
BBST,200000,append,0.25
BBST,200000,search,0.079
BBST,200000,delete,0.078
BBST,210000,append,0.265
BBST,210000,search,0.094
BBST,210000,delete,0.078
BBST,220000,append,0.281
BBST,220000,search,0.078
BBST,220000,delete,0.078
BBST,230000,append,0.297
BBST,230000,search,0.094
BBST,230000,delete,0.093
BBST,240000,append,0.313
BBST,240000,search,0.093
BBST,240000,delete,0.094
BBST,250000,append,0.312
BBST,250000,search,0.109
BBST,250000,delete,0.11
BBST,260000,append,0.329
BBST,260000,search,0.11
BBST,260000,delete,0.109
BBST,270000,append,0.343
BBST,270000,search,0.125
BBST,270000,delete,0.11
BBST,280000,append,0.359
BBST,280000,search,0.125
BBST,280000,delete,0.125
BBST,290000,append,0.375
BBST,290000,search,0.125
BBST,290000,delete,0.125
BBST,300000,append,0.39
BBST,300000,search,0.141
BBST,300000,delete,0.125
BBST,310000,append,0.422
BBST,310000,search,0.125
BBST,310000,delete,0.141
BBST,320000,append,0.406
BBST,320000,search,0.14
BBST,320000,delete,0.141
BBST,330000,append,0.422
BBST,330000,search,0.156
BBST,330000,delete,0.141
