n,sat,algorithm,time
10, 0.2, EC, 0
10, 0.3, EC, 0
10, 0.4, EC, 0
10, 0.6, EC, 0
10, 0.8, EC, 0
9, 0.95, EC, 0
20, 0.2, EC, 0
20, 0.3, EC, 0.004
20, 0.4, EC, 0
20, 0.6, EC, 0
20, 0.8, EC, 0
19, 0.95, EC, 0.005
30, 0.2, EC, 0.003
30, 0.3, EC, 0.008
30, 0.4, EC, 0.009
30, 0.6, EC, 0.012
30, 0.8, EC, 0.016
29, 0.95, EC, 0.014
40, 0.2, EC, 0.008
40, 0.3, EC, 0.02
40, 0.4, EC, 0.023
40, 0.6, EC, 0.036
40, 0.8, EC, 0.048
39, 0.95, EC, 0.045
50, 0.2, EC, 0.02
50, 0.3, EC, 0.04
50, 0.4, EC, 0.054
50, 0.6, EC, 0.096
50, 0.8, EC, 0.116
50, 0.95, EC, 0.135
60, 0.2, EC, 0.044
60, 0.3, EC, 0.073
60, 0.4, EC, 0.111
60, 0.6, EC, 0.186
60, 0.8, EC, 0.235
60, 0.95, EC, 0.259
70, 0.2, EC, 0.067
70, 0.3, EC, 0.124
70, 0.4, EC, 0.198
70, 0.6, EC, 0.34
70, 0.8, EC, 0.425
70, 0.95, EC, 0.462
80, 0.2, EC, 0.116
80, 0.3, EC, 0.226
80, 0.4, EC, 0.358
80, 0.6, EC, 0.576
80, 0.8, EC, 0.78
80, 0.95, EC, 0.773
90, 0.2, EC, 0.199
90, 0.3, EC, 0.342
90, 0.4, EC, 0.542
90, 0.6, EC, 0.957
90, 0.8, EC, 1.25
90, 0.95, EC, 1.245
100, 0.2, EC, 0.297
100, 0.3, EC, 0.596
100, 0.4, EC, 0.907
100, 0.6, EC, 1.866
100, 0.8, EC, 2.142
100, 0.95, EC, 2.317
110, 0.2, EC, 0.455
110, 0.3, EC, 0.821
110, 0.4, EC, 1.297
110, 0.6, EC, 2.579
110, 0.8, EC, 2.902
110, 0.95, EC, 2.779
120, 0.2, EC, 0.59
120, 0.3, EC, 1.164
120, 0.4, EC, 1.812
120, 0.6, EC, 3.177
120, 0.8, EC, 3.96
120, 0.95, EC, 3.947
130, 0.2, EC, 0.856
130, 0.3, EC, 1.512
130, 0.4, EC, 2.449
130, 0.6, EC, 4.224
130, 0.8, EC, 5.274
130, 0.95, EC, 5.43
140, 0.2, EC, 1.118
140, 0.3, EC, 2.168
140, 0.4, EC, 3.486
140, 0.6, EC, 5.798
140, 0.8, EC, 6.985
140, 0.95, EC, 7.164
150, 0.2, EC, 1.388
150, 0.3, EC, 2.707
150, 0.4, EC, 4.333
150, 0.6, EC, 6.993
150, 0.8, EC, 9.455
150, 0.95, EC, 9.851
160, 0.2, EC, 1.805
160, 0.3, EC, 3.653
160, 0.4, EC, 5.544
160, 0.6, EC, 9.232
160, 0.8, EC, 12.61
160, 0.95, EC, 13.17
170, 0.2, EC, 2.254
170, 0.3, EC, 4.452
170, 0.4, EC, 6.962
170, 0.6, EC, 11.935
170, 0.8, EC, 16.058
170, 0.95, EC, 15.899
180, 0.2, EC, 2.772
180, 0.3, EC, 5.825
180, 0.4, EC, 8.485
180, 0.6, EC, 15.204
180, 0.8, EC, 20.203
180, 0.95, EC, 21.733
190, 0.2, EC, 3.458
190, 0.3, EC, 6.975
190, 0.4, EC, 10.72
190, 0.6, EC, 19.285
190, 0.8, EC, 25.288
190, 0.95, EC, 26.194
200, 0.2, EC, 4.337
200, 0.3, EC, 8.582
200, 0.4, EC, 13.15
200, 0.6, EC, 23.507
200, 0.8, EC, 30.704
200, 0.95, EC, 32.159
210, 0.2, EC, 5.392
210, 0.3, EC, 10.4
210, 0.4, EC, 16.011
210, 0.6, EC, 28.49
210, 0.8, EC, 36.567
210, 0.95, EC, 38.065
220, 0.2, EC, 6.269
220, 0.3, EC, 12.526
220, 0.4, EC, 18.915
220, 0.6, EC, 34.437
220, 0.8, EC, 44.45
220, 0.95, EC, 48.026
230, 0.2, EC, 7.69
230, 0.3, EC, 15.167
230, 0.4, EC, 23.877
230, 0.6, EC, 40.919
230, 0.8, EC, 52.651
