n,sat,algorithm,time
25,0.2,HC,0.004
25,0.3,HC,0
25,0.4,HC,0
25,0.6,HC,0
25,0.8,HC,0
25,0.95,HC,0
50,0.2,HC,0.007
50,0.3,HC,0.005
50,0.4,HC,0.002
50,0.6,HC,0.001
50,0.8,HC,0.001
50,0.95,HC,0.001
75,0.2,HC,71.623
75,0.3,HC,1
75,0.4,HC,0.004
75,0.6,HC,0.003
75,0.8,HC,0.002
75,0.95,HC,0.001
100,0.2,HC,8.269
100,0.3,HC,0.007
100,0.4,HC,0.006
100,0.6,HC,0.002
100,0.8,HC,0.002
100,0.95,HC,0.01
125,0.2,HC,20.635
125,0.3,HC,0.785
125,0.4,HC,0.012
125,0.6,HC,0.019
125,0.8,HC,0.018
125,0.95,HC,0.016
150,0.2,HC,81.043
150,0.3,HC,5.021
150,0.4,HC,0.059
150,0.6,HC,0.038
150,0.8,HC,0.032
150,0.95,HC,0.032
175,0.2,HC,10.733
175,0.3,HC,0.063
175,0.4,HC,0.047
175,0.6,HC,0.048
175,0.8,HC,0.047
175,0.95,HC,0.047
200,0.2,HC,20.43
200,0.3,HC,0.073
200,0.4,HC,0.064
200,0.6,HC,0.064
200,0.8,HC,0.052
200,0.95,HC,0.048
225,0.2,HC,21.292
225,0.3,HC,0.382
225,0.4,HC,0.189
225,0.6,HC,0.1
225,0.8,HC,0.098
225,0.95,HC,0.089
250,0.2,HC,30.82
250,0.3,HC,0.181
250,0.4,HC,0.173
250,0.6,HC,0.168
250,0.8,HC,0.161
250,0.95,HC,0.15
275,0.2,HC,52.903
275,0.3,HC,12.348
275,0.4,HC,0.277
275,0.6,HC,0.218
275,0.8,HC,0.187
275,0.95,HC,0.186
300,0.2,HC,8.888
300,0.3,HC,5.217
300,0.4,HC,1
300,0.6,HC,0.296
300,0.8,HC,0.27
300,0.95,HC,0.254
325,0.2,HC,20.1
325,0.3,HC,1.182
325,0.4,HC,0.478
325,0.6,HC,0.468
325,0.8,HC,0.367
325,0.95,HC,0.209
350,0.2,HC,58.264
350,0.3,HC,5.723
350,0.4,HC,1.4
350,0.6,HC,0.476
350,0.8,HC,0.4
350,0.95,HC,0.373
375,0.2,HC,25.528
375,0.3,HC,1.304
375,0.4,HC,0.776
375,0.6,HC,0.598
375,0.8,HC,0.58
375,0.95,HC,0.4
400,0.2,HC,56.06
400,0.3,HC,1.419
400,0.4,HC,0.851
400,0.6,HC,0.845
400,0.8,HC,0.745
400,0.95,HC,0.744
425,0.2,HC,96.317
425,0.3,HC,1.603
425,0.4,HC,1
425,0.6,HC,0.963
425,0.8,HC,0.967
425,0.95,HC,0.784
450,0.2,HC,94.861
450,0.3,HC,3.984
450,0.4,HC,0.949
450,0.6,HC,0.976
450,0.8,HC,0.954
450,0.95,HC,0.868
475,0.2,HC,90.609
475,0.3,HC,4.668
475,0.4,HC,1.63
475,0.6,HC,0.976
475,0.8,HC,0.988
475,0.95,HC,0.922
500,0.2,HC,32.131
500,0.3,HC,6.285
500,0.4,HC,1.119
500,0.6,HC,1.088
500,0.8,HC,1.087
500,0.95,HC,1.086
